run_id,timestamp,workload,strategy,repetition,build_time_seconds,image_size_mb,layer_count,startup_time_seconds,critical_vulnerabilities,high_vulnerabilities,medium_vulnerabilities,low_vulnerabilities,unknown_vulnerabilities,build_status,startup_status,security_scan_status,overall_status,notes
run_ca592d9e,2026-07-06T13:39:59,express,baseline,1,2.959,391.28,12,1.157,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_c6f3aaed,2026-07-06T13:42:11,express,multistage,4,1.714,390.08,10,1.111,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_365c378b,2026-07-06T13:42:19,express,multistage,5,1.752,390.08,10,1.123,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_78d563c4,2026-07-06T13:42:26,express,alpine-multistage,1,3.071,55.39,6,1.128,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_6332b02e,2026-07-06T13:42:35,express,alpine-multistage,2,1.758,55.39,6,1.11,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_0b2a1274,2026-07-06T13:42:43,express,alpine-multistage,3,1.581,55.39,6,1.114,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_730924f9,2026-07-06T13:42:50,express,alpine-multistage,4,1.576,55.39,6,1.11,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_f0e6b118,2026-07-06T13:42:57,express,alpine-multistage,5,1.677,55.39,6,1.118,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_0e3490fe,2026-07-06T13:43:04,express,distroless,1,2.651,50.75,21,1.166,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_db083066,2026-07-06T13:43:13,express,distroless,2,1.875,50.75,21,1.135,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_7f3019ab,2026-07-06T13:43:21,express,distroless,3,1.909,50.75,21,1.141,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_7f1f3362,2026-07-06T13:43:29,express,distroless,4,1.955,50.75,21,1.152,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
run_6526d6ff,2026-07-06T13:43:37,express,distroless,5,1.951,50.75,21,1.13,,,,,,PASS,PASS,SKIPPED,PASS,Successful build; TRIVY_NOT_INSTALLED
